NVO.US,ffd08bba-e4f2-11ee-b30e-3774e444eabf,Novo Nordisk
BX.US,ffd08bbb-e4f2-11ee-b30e-3774e444eabf,Blackstone
MET.US,ffd08bbc-e4f2-11ee-b30e-3774e444eabf,MetLife
UNH.US,ffd08bbd-e4f2-11ee-b30e-3774e444eabf,UnitedHealth
TM.US,ffd08bbe-e4f2-11ee-b30e-3774e444eabf,Toyota Motors
DELL.US,ffd08bbf-e4f2-11ee-b30e-3774e444eabf,Dell Computer
COP.US,ffd08bc0-e4f2-11ee-b30e-3774e444eabf,ConocoPhillips
EL.US,ffd08bc1-e4f2-11ee-b30e-3774e444eabf,Estee Lauder
VZ.US,ffd08bc2-e4f2-11ee-b30e-3774e444eabf,Verizon
FDX.US,ffd08bc3-e4f2-11ee-b30e-3774e444eabf,FedEx
GE.US,ffd08bc4-e4f2-11ee-b30e-3774e444eabf,General Electric
CVS.US,ffd08bc5-e4f2-11ee-b30e-3774e444eabf,CVS
BLK.US,ffd08bc6-e4f2-11ee-b30e-3774e444eabf,BlackRock
NET.US,ffd08bc7-e4f2-11ee-b30e-3774e444eabf,Cloudflare
AXP.US,ffd08bc8-e4f2-11ee-b30e-3774e444eabf,American Express
ALB.US,ffd08bc9-e4f2-11ee-b30e-3774e444eabf,Albemarle
TSN.US,ffd08bca-e4f2-11ee-b30e-3774e444eabf,Tyson Foods
KMB.US,ffd08bcb-e4f2-11ee-b30e-3774e444eabf,Kimberly Clark
LLY.US,ffd08bcc-e4f2-11ee-b30e-3774e444eabf,Eli Lilly
TWLO.US,ffd08bcd-e4f2-11ee-b30e-3774e444eabf,Twilio
CHPT.US,ffd08bce-e4f2-11ee-b30e-3774e444eabf,ChargePoint
GOLD.US,ffd08bcf-e4f2-11ee-b30e-3774e444eabf,Barrick Gold
STM.US,ffd08bd0-e4f2-11ee-b30e-3774e444eabf,STMicroelectronics
TMO.US,ffd08bd1-e4f2-11ee-b30e-3774e444eabf,Thermo Fisher
NCLH.US,ffd08bd2-e4f2-11ee-b30e-3774e444eabf,Norwegian
BRKb.US,ffd08bd3-e4f2-11ee-b30e-3774e444eabf,Berkshire B
C38U.SI,cddf2307-9d83-11ee-8ba2-c75ffde41a09,CapitaLand Integrated Commercial
A17U.SI,cddf22ec-9d83-11ee-8ba2-c75ffde41a09,Mapletree Pan Asia Commercial Trust
N2IU.SI,
D01.SI,ffd08bd6-e4f2-11ee-b30e-3774e444eabf,DFI RETAIL GROUP HOLDINGS LT
AJBU.SI,ffd08bd7-e4f2-11ee-b30e-3774e444eabf,KEPPEL DC REIT
S68.SI,ffd08bd8-e4f2-11ee-b30e-3774e444eabf,Singapore Exchange
D05.SI,ffd08bd9-e4f2-11ee-b30e-3774e444eabf,DBS
O39.SI,ffd08bda-e4f2-11ee-b30e-3774e444eabf,OCBC
F34.SI,ffd08bdb-e4f2-11ee-b30e-3774e444eabf,WILMAR INTERNATIONAL LTD
Z74.SI,ffd08bdc-e4f2-11ee-b30e-3774e444eabf,Singtel ST
BN4.SI,ffd08bdd-e4f2-11ee-b30e-3774e444eabf,KEPPEL CORP LTD
C6L.SI,ffd08bde-e4f2-11ee-b30e-3774e444eabf,Singapore Airlines
UBSG.SW,ffd08bdf-e4f2-11ee-b30e-3774e444eabf,UBS AG
DTE.GY,ffd08be0-e4f2-11ee-b30e-3774e444eabf,Deutsche Telekom
SAP.GY,ffd08be1-e4f2-11ee-b30e-3774e444eabf,SAP
SIE.GY,ffd08be2-e4f2-11ee-b30e-3774e444eabf,Simens
VOW3.GY,ffd08be3-e4f2-11ee-b30e-3774e444eabf,VOLKSWAGEN
ALV.GY,ffd08be4-e4f2-11ee-b30e-3774e444eabf,ALLIANZ
BAYN.GY,ffd08be5-e4f2-11ee-b30e-3774e444eabf,BAYER
PAH3.GY,ffd08be6-e4f2-11ee-b30e-3774e444eabf,PORSCHE
